,location,continent,date,latitude,longitude,temperature_2m,surface_pressure,dewpoint_temperature_2m,v_wind_10m,u_wind_10m,evaporation,runoff,total_percipitation,snowfall,snow_depth,soil_temperature_level_1,soil_type
1034,"Bangkok, Thailand",Asia,2023-11-01,13.75,100.5,301.58295,101197.79,296.7561,-0.74226665,-0.7782202,-2.7990667e-05,2.2649765e-06,0.00013673306,0.0,0.0,303.50464,4
1035,"Mumbai, India",Asia,2023-11-01,19.0,73.0,303.42865,100723.79,295.20337,-1.7193174,2.5679712,-0.00010967883,2.348423e-05,3.9339066e-06,0.0,0.0,303.60425,2
1036,"Mexico City, Mexico",North America,2023-11-01,19.5,260.75,281.71576,75415.79,280.2815,0.09953022,0.8194361,-1.913635e-06,2.1457672e-06,7.2717667e-06,0.0,0.0,283.97144,3
1037,"Dubai, UAE",Asia,2023-11-01,25.25,55.25,303.46576,101035.79,290.4729,-2.567462,2.475686,-0.00010948512,0.0,9.655952e-06,0.0,0.0,308.989,7
1038,"Miami, FL",North America,2023-11-01,25.75,279.75,296.18646,101559.79,293.01978,-1.9029112,-1.5213842,-0.00014462206,3.4332275e-05,0.0003322363,0.0,0.0,297.8562,1
1039,"Cairo, Egypt",Africa,2023-11-01,30.0,31.25,300.50287,100331.79,285.3225,-1.6397276,0.6675806,-5.856785e-05,0.0,1.9073486e-06,0.0,0.0,301.84644,2
1040,"Los Angeles, CA",North America,2023-11-01,34.0,241.75,284.6474,100036.79,275.8401,-1.1812315,-0.8665991,-7.725088e-06,7.1525574e-07,2.0742416e-05,0.0,0.0,285.68237,2
1041,"Tokyo, Japan",Asia,2023-11-01,35.75,139.75,286.73138,101815.79,282.27173,-1.1758604,0.82236576,-4.51121e-05,5.4836273e-06,1.013279e-05,0.0,0.0,288.50464,3
1042,"Seoul, South Korea",Asia,2023-11-01,37.5,127.0,278.87982,101100.79,274.27563,-0.53670025,0.9180689,-1.7455546e-05,4.863739e-05,0.00019133091,2.5331974e-07,1.9073486e-06,280.61206,4
1043,"Beijing, China",Asia,2023-11-01,40.0,116.5,276.62982,102171.79,266.4182,-0.8013487,0.4961939,-6.607501e-06,0.0,0.0,0.0,0.0,278.40503,2
1044,"New York City, NY",North America,2023-11-01,40.75,286.0,277.88177,101835.79,274.71704,-0.5230284,1.4332056,-4.2504398e-05,2.0503998e-05,2.5510788e-05,0.0,0.0,277.29956,3
1045,"Chicago, IL",North America,2023-11-01,42.0,272.25,276.66302,99590.79,272.38306,0.48624897,1.6451197,-5.140039e-05,1.3113022e-06,0.00013828278,8.404255e-06,0.000749588,278.4226,2
1046,"Paris, France",Europe,2023-11-01,48.75,2.25,283.94623,99577.79,280.33032,2.4227724,3.464944,-0.00011078152,1.0251999e-05,0.00021827221,0.0,0.0,283.32886,3
1047,"Vancouver, Canada",North America,2023-11-01,49.25,237.0,277.72357,99114.79,276.80493,-0.5244932,-0.7757788,-1.224014e-05,0.00041878223,0.00047910213,0.0,0.00094890594,278.09448,2
1048,"London, United Kingdom",Europe,2023-11-01,51.5,0.0,282.8896,99706.79,279.86743,0.6102724,3.2281275,-9.6223084e-05,5.841255e-06,0.00010359287,0.0,0.0,282.14526,3
1049,"Moscow, Russia",Europe,2023-11-01,55.75,37.5,274.28802,98715.79,271.59595,0.94767475,-0.06777096,-3.0657975e-05,8.46386e-06,0.00010550022,2.8312206e-05,0.0063676834,275.5476,2
1050,"Amundsen-Scott, Antarctica",Antarctica,2023-12-01,-90.0,0.0,245.08,68358.984,241.7352,2.6274157,2.4465342,-2.1769665e-07,0.0,1.0728836e-05,1.0758638e-05,10.0,232.20044,1
1051,"McMurdo Station, Antarctica",Antarctica,2023-12-01,-77.75,166.75,267.43353,96584.984,263.06528,-0.012721062,-1.2912588,-1.4433404e-05,0.0,2.026558e-05,2.026558e-05,4.0214233,265.3977,0
1052,"Melbourne, Australia",Oceania,2023-12-01,-37.75,145.0,289.789,100396.984,286.3524,2.6532946,0.07641697,-3.9348146e-05,2.9802322e-06,0.00016534328,0.0,0.0,291.39966,4
1053,"Buenos Aires, Argentina",South America,2023-12-01,-34.5,301.5,294.7929,101323.984,289.70395,-0.07131481,-2.2214346,-0.00024300232,2.2530556e-05,0.00035214424,0.0,0.0,296.5227,0
1054,"Cape Town, South Africa",Africa,2023-12-01,-34.0,18.5,294.3476,101161.984,287.04575,6.973607,-0.8620596,-0.00011559739,0.0,8.34465e-07,0.0,0.0,295.67896,1
1055,"Sydney, Australia",Oceania,2023-12-01,-33.75,151.25,294.57416,100886.984,291.54965,1.2153063,-1.4372549,-7.259264e-05,3.5762787e-07,0.00012481213,0.0,0.0,295.2356,0
1056,"Perth, Australia",Oceania,2023-12-01,-32.0,115.75,297.02533,101050.984,287.15317,4.748021,0.026612282,-0.00012038066,1.0728836e-06,1.1920929e-07,0.0,0.0,300.34692,1
1057,"Sao Paulo, Brazil",South America,2023-12-01,-23.5,313.25,297.68158,92586.984,291.50278,-1.1147718,-0.4299307,-0.0002581866,6.67572e-06,2.8848648e-05,0.0,0.0,297.75513,4
1058,"Rio de Janeiro, Brazil",South America,2023-12-01,-23.0,316.75,300.77142,101038.984,294.85434,-0.15920544,-0.86791897,-0.00018934323,7.1525574e-07,4.887581e-05,0.0,0.0,301.8684,3
1059,"Lima, Peru",South America,2023-12-01,-12.0,283.0,292.97064,96531.984,289.8973,2.0365953,0.07202244,-1.8784543e-05,9.536743e-07,1.4901161e-05,0.0,0.0,295.5598,4
1060,"Nairobi, Kenya",Africa,2023-12-01,-1.25,36.75,298.42767,82833.984,286.21176,-1.2241468,-4.0671377,-0.00023920252,2.6226044e-06,5.4001808e-05,0.0,0.0,299.3723,2
1061,"Singapore, Singapore",Asia,2023-12-01,1.25,103.75,300.37103,100924.984,297.43832,-3.2075453,-0.8078604,-0.0001376511,0.0,9.453297e-05,0.0,0.0,302.2356,0
1062,"Bogota, Colombia",South America,2023-12-01,4.75,286.0,283.70502,73427.984,283.07895,0.4623766,-1.4821768,-1.5372178e-05,1.0251999e-05,4.8041344e-05,0.0,0.0,284.7024,2
1063,"Lagos, Nigeria",Africa,2023-12-01,6.5,3.5,303.93353,100919.984,295.6473,0.4413805,-0.2785635,-0.00030338182,4.2319298e-05,1.3828278e-05,0.0,0.0,304.1809,1
1064,"Bangkok, Thailand",Asia,2023-12-01,13.75,100.5,302.08392,101240.984,295.59653,-0.74709606,-0.6115713,-2.514734e-05,4.7683716e-07,3.170967e-05,0.0,0.0,303.9934,4
1065,"Mumbai, India",Asia,2023-12-01,19.0,73.0,302.36908,100770.984,293.09848,-2.3032484,2.3713388,-9.826734e-05,1.1205673e-05,0.0,0.0,0.0,302.46216,2
1066,"Mexico City, Mexico",North America,2023-12-01,19.5,260.75,279.77533,75379.984,278.61606,0.14401722,0.7731943,-8.435454e-07,3.9339066e-06,3.4570694e-05,0.0,0.0,281.71216,3
1067,"Dubai, UAE",Asia,2023-12-01,25.25,55.25,299.80853,101299.984,288.3231,-3.1284437,2.1174326,-8.890941e-05,0.0,1.1444092e-05,0.0,0.0,305.36646,7
1068,"Miami, FL",North America,2023-12-01,25.75,279.75,293.70502,101794.984,290.11606,-1.2544203,-2.1228018,-0.00016882434,2.169609e-05,0.00020956993,0.0,0.0,295.56763,1
1069,"Cairo, Egypt",Africa,2023-12-01,30.0,31.25,296.31635,100552.984,283.4637,-1.2441664,0.77710056,-2.6384136e-05,0.0,4.7683716e-06,0.0,0.0,297.03442,2
1070,"Los Angeles, CA",North America,2023-12-01,34.0,241.75,283.57025,100165.984,278.0516,-1.0552015,-1.1726065,-4.7476497e-06,9.536743e-07,4.1246414e-05,0.0,0.0,284.42896,2
1071,"Tokyo, Japan",Asia,2023-12-01,35.75,139.75,281.8261,101961.984,276.46176,-1.9194593,0.8781748,-3.5205623e-05,5.1259995e-06,4.0888786e-05,0.0,6.866455e-05,283.56372,3
1072,"Seoul, South Korea",Asia,2023-12-01,37.5,127.0,273.7968,101409.984,269.66098,-0.69289684,-0.2292471,-1.117005e-05,2.5629997e-05,0.00012898445,1.0341406e-05,0.0004787445,275.8684,4
1073,"Beijing, China",Asia,2023-12-01,40.0,116.5,269.03314,102605.984,261.5887,-0.27883434,0.479249,-1.0372605e-06,0.0,1.9788742e-05,1.9729137e-05,0.0006122589,270.52466,2
1074,"New York City, NY",North America,2023-12-01,40.75,286.0,277.33002,101767.984,274.54575,-0.18020153,0.71704197,-1.33307185e-05,0.00019431114,0.00032377243,0.0,0.0,276.94263,3
1075,"Chicago, IL",North America,2023-12-01,42.0,272.25,276.21674,99428.984,273.35434,0.6308336,1.3078623,-2.2032997e-05,1.1920929e-06,0.000114917755,1.463294e-05,9.727478e-05,277.1731,2
1076,"Paris, France",Europe,2023-12-01,48.75,2.25,281.77338,100369.984,279.09653,2.3217516,3.0563974,-6.8092486e-05,3.8146973e-06,5.710125e-05,5.9604645e-08,0.0,280.96216,3
1077,"Vancouver, Canada",North America,2023-12-01,49.25,237.0,278.77142,98798.984,277.6063,-0.6347914,-1.4103994,-1.6385457e-05,0.00022351742,0.00053572655,9.602308e-05,0.002319336,278.74536,2
1078,"London, United Kingdom",Europe,2023-12-01,51.5,0.0,282.2226,100408.984,279.8016,2.1630602,3.1950693,-5.712523e-05,1.04904175e-05,0.00016784668,2.9802322e-08,0.0,281.1184,3
1079,"Moscow, Russia",Europe,2023-12-01,55.75,37.5,268.89642,99044.984,267.1434,1.3359118,0.40454197,-8.264324e-06,8.34465e-06,0.00011622906,8.955598e-05,0.043668747,272.13208,2
1080,"Amundsen-Scott, Antarctica",Antarctica,2024-01-01,-90.0,0.0,242.47778,68673.53,238.69788,0.35933876,2.89497,-4.156027e-07,0.0,6.914139e-06,6.854534e-06,10.0,233.85214,1
1081,"McMurdo Station, Antarctica",Antarctica,2024-01-01,-77.75,166.75,267.8391,96949.53,263.05725,0.5268192,-1.5454597,-1.6121427e-05,0.0,4.518032e-05,4.515052e-05,4.0214233,266.98886,0
1082,"Melbourne, Australia",Oceania,2024-01-01,-37.75,145.0,291.24146,100343.53,287.43616,1.1088505,0.40961838,-3.7921825e-05,5.2452087e-06,0.00011205673,0.0,0.0,292.62558,4
1083,"Buenos Aires, Argentina",South America,2024-01-01,-34.5,301.5,296.70044,101426.53,291.12952,-1.926794,-2.3945808,-0.00023054914,3.5762787e-07,6.1273575e-05,0.0,0.0,298.63535,0
1084,"Cape Town, South Africa",Africa,2024-01-01,-34.0,18.5,295.5149,101071.53,288.88928,4.620081,0.23627853,-7.529394e-05,0.0,5.9604645e-07,0.0,0.0,296.7955,1
1085,"Sydney, Australia",Oceania,2024-01-01,-33.75,151.25,296.06958,100918.53,292.6139,-0.5918331,-2.2432137,-8.6812535e-05,1.1920929e-06,0.00015306473,0.0,0.0,296.56503,0
1086,"Perth, Australia",Oceania,2024-01-01,-32.0,115.75,297.6184,100856.53,289.30725,4.8359013,0.7714348,-0.00012074248,7.1525574e-07,0.0,0.0,0.0,301.96542,1
1087,"Sao Paulo, Brazil",South America,2024-01-01,-23.5,313.25,296.6848,92565.53,292.03967,-0.9697628,0.26411057,-0.00023998157,2.0742416e-05,9.262562e-05,0.0,0.0,296.62558,4
1088,"Rio de Janeiro, Brazil",South America,2024-01-01,-23.0,316.75,300.89966,100936.53,295.96936,-0.40384483,-0.16411209,-0.00020809309,9.536743e-07,0.00010621548,0.0,0.0,301.6158,3
